RAYON 20
Montagne -19 19
Foret -18 19
Montagne -17 19
Ocean -16 19
Montagne -15 19
Foret -14 19
Foret -13 19
Foret -12 19
Plaine -11 19
Plaine -10 19
Plaine -9 19
Plaine -8 19
Plaine -7 19
Plaine -6 19
Plaine -5 19
Plaine -4 19
Plaine -3 19
Plaine -2 19
Plaine -1 19
Plaine 0 19
Montagne -19 18
Ocean -18 18
Foret -17 18
Foret -16 18
Montagne -15 18
Ocean -14 18
Ocean -13 18
Ville -12 18
Foret -11 18
Ocean -10 18
Plaine -9 18
Plaine -8 18
Plaine -7 18
Ocean -6 18
Ocean -5 18
Plaine -4 18
Plaine -3 18
Plaine -2 18
Ocean -1 18
Plaine 0 18
Plaine 1 18
Ocean -19 17
Foret -18 17
Ocean -17 17
Ocean -16 17
Ocean -15 17
Ocean -14 17
Foret -13 17
Plaine -12 17
Foret -11 17
Ocean -10 17
Ocean -9 17
Plaine -8 17
Plaine -7 17
Plaine -6 17
Ocean -5 17
Plaine -4 17
Ocean -3 17
Ocean -2 17
Plaine -1 17
Ocean 0 17
Plaine 1 17
Ocean 2 17
Ville -19 16
Foret -18 16
Ocean -17 16
Montagne -16 16
Foret -15 16
Foret -14 16
Foret -13 16
Foret -12 16
Plaine -11 16
Plaine -10 16
Plaine -9 16
Plaine -8 16
Ocean -7 16
Plaine -6 16
Ocean -5 16
Plaine -4 16
Ville -3 16
Plaine -2 16
Ocean -1 16
Ocean 0 16
Plaine 1 16
Ocean 2 16
Plaine 3 16
Montagne -19 15
Ville -18 15
Montagne -17 15
Foret -16 15
Ocean -15 15
Foret -14 15
Ville -13 15
Ocean -12 15
Ocean -11 15
Ville -10 15
Plaine -9 15
Plaine -8 15
Plaine -7 15
Plaine -6 15
Ocean -5 15
Plaine -4 15
Ocean -3 15
Ocean -2 15
Plaine -1 15
Plaine 0 15
Ocean 1 15
Plaine 2 15
Plaine 3 15
Plaine 4 15
Montagne -19 14
Foret -18 14
Foret -17 14
Plaine -16 14
Foret -15 14
Plaine -14 14
Foret -13 14
Ocean -12 14
Ville -11 14
Foret -10 14
Plaine -9 14
Plaine -8 14
Plaine -7 14
Plaine -6 14
Plaine -5 14
Ocean -4 14
Plaine -3 14
Ocean -2 14
Ocean -1 14
Plaine 0 14
Plaine 1 14
Plaine 2 14
Ocean 3 14
Plaine 4 14
Plaine 5 14
Montagne -19 13
Montagne -18 13
Montagne -17 13
Montagne -16 13
Foret -15 13
Foret -14 13
Ocean -13 13
Ocean -12 13
Foret -11 13
Plaine -10 13
Ocean -9 13
Plaine -8 13
Ocean -7 13
Ocean -6 13
Ocean -5 13
Ocean -4 13
Plaine -3 13
Plaine -2 13
Ocean -1 13
Ocean 0 13
Ville 1 13
Plaine 2 13
Plaine 3 13
Plaine 4 13
Plaine 5 13
Plaine 6 13
Montagne -19 12
Foret -18 12
Ocean -17 12
Montagne -16 12
Foret -15 12
Foret -14 12
Plaine -13 12
Plaine -12 12
Ocean -11 12
Ocean -10 12
Ocean -9 12
Plaine -8 12
